Object ID,Name,Zone,Description,Notes
MINISLIDEMOUND_GIRAFF_SPARSE_030,Magic Bridge Object Names/Climbing Giraffe.mp3,Tot zone,"The Climbing Giraffe is a small structure perfect for toddlers. It has tactile elements, a short climbing net and bench designed to be climbed on and under. The structure looks like a Giraffe with its neck curved to the ground.",
MINISLIDEMOUND_HARP_SPARSE_015,Magic Bridge Object Names/Kinder Bells.mp3,Tot zone,,No description available
MINISLIDEMOUND_HORSE_SPARSE_085,Magic Bridge Object Names/Rocking Horse.mp3,Tot zone,A very short rocking horse for toddlers. Be careful and use your cane as the rocking horse is about 2 feet high.,
MINISLIDEMOUND_SLIDE_SPARSE_020,Magic Bridge Object Names/Toddler Slide.mp3,Tot zone,,Not sure what this is or what it's called
MINISLIDEMOUND_VERTICAL_PIPES_SPARSE_052,Magic Bridge Object Names/Climbing Poles.mp3,Tot zone,,Not sure what this is or what it's called
PICNIC_TABLE_1_SPARSE_012,Magic Bridge Object Names/Round Table.mp3,,,Not sure what it's called -- it has a chess board on it
PICNIC_TABLE_2_SPARSE_080,Magic Bridge Object Names/Round Table.mp3,,,Not sure what it's called -- it has a chess board on it
PICNIC_TABLE_3_SPARSE_067,Magic Bridge Object Names/Round Table.mp3,,,Not sure what it's called -- it has a chess board on it
PILASTER_1_SPARSE_039,Magic Bridge Object Names/Picnic and Performance Area Plinth.mp3,,,
PILASTER_2_SPARSE_022,Magic Bridge Object Names/Tot Zone Plinth.mp3,,,
PILASTER_3_SPARSE_003,Magic Bridge Object Names/Spinning Zone Plinth.mp3,,,
PILASTER_4_SPARSE_072,Magic Bridge Object Names/Swinging and Swaying Zone Plinth.mp3,,,
PILASTER_5_SPARSE_053,Magic Bridge Object Names/Slide Mound Plinth.mp3,,,
PILASTER_6_SPARSE_028,Magic Bridge Object Names/Music Zone Plinth.mp3,,,
PILASTER_7_SPARSE_016,Magic Bridge Object Names/Playhouse and Tree Deck Plinth.mp3,,,
PLANTER_SPARSE_078,Magic Bridge Object Names/Oval Bench.mp3,,,
PLAYHOUSE_SPARSE_059,Magic Bridge Object Names/Playhouse.mp3,,,
PLAYHOUSE_RAMP_SPARSE_041,Magic Bridge Object Names/Playhouse Ramp.mp3,,,
PLAYHOUSE_RAMP_1_SPARSE_025,Magic Bridge Object Names/Playhouse Ramp.mp3,,,
PLAYHOUSE_RAMP_3_SPARSE_007,Magic Bridge Object Names/Playhouse Ramp.mp3,,,
PLAYHOUSE_SEATS_SPARSE_073,Magic Bridge Object Names/Playhouse Stage Audience Benches.mp3,,,
PLAYHOUSE_STAGE_SPARSE_055,Magic Bridge Object Names/Playhouse Stage.mp3,,,
POD_1_SPARSE_060,Magic Bridge Object Names/Cozy Cocoon in Spinning Zone.mp3,,"The Cozy Cocoon is a place for kids and adults, especially those with autism and sensory challenges, to hang out in when active play feels overwhelming and frenetic. The Cozy Cocoon in the Spin Zone is one of three located throughout the playground. A Cozy Cocoon is shaped like a large sphere with openings. There is one large opening in the front with room for one person to sit down in the cocoon, and there are smaller openings in the side and back of each cocoon to use as a window to peer out at the playground. The cocoon can be gently rotated so that the user or a helper can rotate it away from the action and noise. A cocoon's main purpose is to be a calming, cozy place to regroup while observing from the round openings in the cocoon and to re-emerge and re-engage in active play when ready.",
POD_2_SPARSE_045,Magic Bridge Object Names/Cozy Cocoon in Music Zone.mp3,,"The Cozy Cocoon is a place for kids and adults, especially those with autism and sensory challenges, to hang out in when active play feels overwhelming and frenetic. The Cozy Cocoon in the Spin Zone is one of three located throughout the playground. A Cozy Cocoon is shaped like a large sphere with openings. There is one large opening in the front with room for one person to sit down in the cocoon, and there are smaller openings in the side and back of each cocoon to use as a window to peer out at the playground. The cocoon can be gently rotated so that the user or a helper can rotate it away from the action and noise. A cocoon's main purpose is to be a calming, cozy place to regroup while observing from the round openings in the cocoon and to re-emerge and re-engage in active play when ready.",
POD_3_SPARSE_024,Magic Bridge Object Names/Cozy Cocoon in Swinging and Swaying Zone.mp3,,"The Cozy Cocoon is a place for kids and adults, especially those with autism and sensory challenges, to hang out in when active play feels overwhelming and frenetic. The Cozy Cocoon in the Spin Zone is one of three located throughout the playground. A Cozy Cocoon is shaped like a large sphere with openings. There is one large opening in the front with room for one person to sit down in the cocoon, and there are smaller openings in the side and back of each cocoon to use as a window to peer out at the playground. The cocoon can be gently rotated so that the user or a helper can rotate it away from the action and noise. A cocoon's main purpose is to be a calming, cozy place to regroup while observing from the round openings in the cocoon and to re-emerge and re-engage in active play when ready.",
RAMP_ELEVATED_WALKWAY_SPARSE_008,Magic Bridge Object Names/Elevated Walkway Behind Playhouse.mp3,,,
RAMP_LONG_SPARSE_075,Magic Bridge Object Names/Long Ramp.mp3,,,
RAMP_SIDEWALK_SPARSE_054,Magic Bridge Object Names/Sidewalk to Main Bridge.mp3,,,
RAMP_TREEHOUSE_DECK_SPARSE_033,Magic Bridge Object Names/Tree House Deck.mp3,,,
RING_THING_SPARSE_066,Magic Bridge Object Names/Nest Spinner.mp3,,The Nest Spinner is a relaxing spin ride where one or two people curl up safely into the nest and spin slowly and rhythmically making it a good introduction to spinning for those who would find it challenging. The structure of the Nest Spinner looks like two large rings that are both crossed in space and connected together (be careful not to bump your head on the rings). The base of the two rings has a cupped area which is big enough for two people to sit and a constant push on the sides of the rings to cause the nest to rotate.,
SHAKING_BENCH_SPARSE_026,Magic Bridge Object Names/Sway Fun.mp3,,"Smooth and carefully designed with ramped access to the Sway Fun allows those unable to leave their mobility device the ability to enjoy gentle swaying with no need to transfer. Users can rock back and forth on the deck of the Sway Fun to get it moving, or a person stand on the outside of the Sway Fun and push it to get the equipment in motion. If you decide to not lock the wheels of your mobility device when riding, be sure to hold onto the handholds on the table on the deck of the Sway Fun. The sway Fun is in the shape of a boat.",
SITTING_WALL_1_SPARSE_005,Magic Bridge Object Names/Sitting Wall.mp3,,,
SITTING_WALL_2_SPARSE_031,Magic Bridge Object Names/Sitting Wall.mp3,,,
SITTING_WALL_3_SPARSE_017,Magic Bridge Object Names/Sitting Wall.mp3,,,
SITTING_WALL_4_SPARSE_061,Magic Bridge Object Names/Sitting Wall.mp3,,,
SITTING_WALL_5_SPARSE_047,Magic Bridge Object Names/Sitting Wall.mp3,,,
SLIDE_SLIDEMOUND_ROLLER_SLIDE_SPARSE_048,Magic Bridge Object Names/Roller Slide.mp3,,"The roller slide is a series of horizontal metal cylinders that rotate underneath the rider to provide a bumpy and stimulating experience. The slide goes down at a moderate incline, flattens out, and then goes down another incline. The bottom platform, also known as the Dignity Landing, gives people that need the assistance of a helper a safe place to wait at the end of the slide without blocking others.",
SLIDEMOUND_BRIDGE_SPARSE_036,Magic Bridge Object Names/Elevated Walkway to Slide Mound.mp3,,,
SLIDEMOUND_CURVED_SLIDE_SPARSE_010,Magic Bridge Object Names/Curved Slide.mp3,,This classic curved slide is made of plastic and has higher curved sides for added security and offers a slower sliding experience.,Unsure of name
SLIDEMOUND_GROUP_SLIDE_SPARSE_079,Magic Bridge Object Names/Group Slide.mp3,,"The Group Slide enables two or three people to slide down simultaneously, perfect for those needing additional assistance or just the added fun of sliding with your friend next to you! The slide is metal so be careful on hot days. This slide is the fastest and most slippery slide at the playground.",
SLIDEMOUND_INCLINE_SPARSE_021,Magic Bridge Object Names/Shallow Turf Hill.mp3,,,
SLIDEMOUND_NET_SPARSE_050,Magic Bridge Object Names/Climbing Net on Slide Mound.mp3,,Climbing net on slide mound,
SLIDEMOUND_SLIDE_RAILS_SPARSE_032,Magic Bridge Object Names/Parallel Bar Slide.mp3,,,
SLIDEMOUND_STAIRS_SPARSE_065,Magic Bridge Object Names/Stairs on Slide Mound.mp3,,"A staircase of 15 stairs is provided to the south of the summit of the slide mound. Caution, the end of the railing at the base of the stairs protrudes into the walking path. The railing on the stairs has two heights. A narrow fence opening is at the top of the slide that prevents mobility devices from accidentally rolling down the stairs.",
SLIDEMOUND_UMBRELA_SPARSE_038,Magic Bridge Object Names/Umbrella Pole.mp3,,Umbrella Pole on top of slide mound,
SPINNING_CONE_SPARSE_076,Magic Bridge Object Names/Net Spinner.mp3,,The Net Spinner is a combined climbing experience and a spinning experience. The structure of the Net Spinner is a large cone shaped net. The net is anchored at the bottom to a large horizontal disk about 8 feet in diameter and about 1 foot from the ground. Coming up from the center of the disk is pole that is 12 feet. A network of ropes is attached from the top of the pole to the outside edge of the disks to form a net that can be climbed on. A person standing next to the net spinner can push on the ropes in a circular direction causing the entire net spinner to rotate. Many people can climb on the net or sit safely on the disk inside at once. Not only is the net spinner a climbing challenge but you will get some good stimulus to your balance (vestibular) system if someone rotates the net spinning while you are at the top. Keep in mind the whole thing can spin as you are at a height of 8 or more feet off the ground. How do you know if you are ready to climb to the top of the net spinner? People should be comfortable with climbing short distances up and down the net before going to the top.,
SPINNING_TABLE_SPARSE_057,Magic Bridge Object Names/Ground Carousel.mp3,,"The Ground Carousel is flush with the ground so everyone can ride. For those who are blind or with other challenging visual impairments, approach the ground carousel with caution. The ground carousel has metal poles that can come around very fast and sometimes people spin with their legs and arms extended out from the carousel. So best if you are visually impaired to ask folks to stop the carousel before approaching it. The carousel has two benches for up to 3 people each to sit on while riding the carousel and also has two magical parking spaces for wheelchairs. To transfer a wheelchair onto the ground carousel simply lift the safety rail, roll into the space provided and park the wheelchair. Set the safety break on the wheelchair, then bring the safety rail down. If you have the arm strength to do it, you can “turn” the disk in the middle of the spinner which will cause the whole carousel to rotate.",
STEPPING_SOUNDS_SPARSE_037,Magic Bridge Object Names/Stepping Sounds.mp3,,The stepping sounds are a permanent installation placed at the main entrance to the playground. The stepping sounds make different sounds as users walk in front of hidden sensors placed along the side of the walkway. There are several different sounds including water and squeaky shoes.,
SWING_BRIDGE_SPARSE_011,Magic Bridge Object Names/Bouncy Bridge.mp3,,,
SWINGS_SPARSE_082,Magic Bridge Object Names/Bucket Swings.mp3,,"The bucket swings are supportive, allowing for use by all abilities, and promote collaborative swinging. The bucket swings have a rigid plastic harness with a metal latching mechanism to keep the rider secure when swinging. The harness hinges are located near the rider shoulders and the whole harness rotates overhead. Be careful to not hit your head on the harness when getting in and out of the bucket swings.",
TREE_1_SPARSE_062,Magic Bridge Object Names/Tree.mp3,,,
TREE_2_SPARSE_027,Magic Bridge Object Names/Tree.mp3,,,
TREE_3_SPARSE_019,Magic Bridge Object Names/Tree.mp3,,,
TREE_4_SPARSE_004,Magic Bridge Object Names/Tree.mp3,,,
TREE_5_SPARSE_069,Magic Bridge Object Names/Tree.mp3,,,
YOU_ARE_HERE_SPARSE_056,Magic Bridge Object Names/You are here at the Magic Map.mp3,,,
CREEK_SPARSE_071,Magic Bridge Object Names/Adobe Creek wall.mp3,,,
ZONE_61_SLIDEMOUND_SPARSE_009,Magic Bridge Object Names/Slide Mound.mp3,,,
ZONE_62_TOTZONE_SPARSE_063,Magic Bridge Object Names/Tot Zone.mp3,,,
ZONE_66_SPINNING_SPARSE_049,Magic Bridge Object Names/Spinning Zone.mp3,,,
ZONE_65_PLAYHOUSE_TREE_DECK_SPARSE_070,Magic Bridge Object Names/Playhouse and Tree Deck.mp3,,,
ZONE_60_PICNIC_PERFORMANCE_SPARSE_029,Magic Bridge Object Names/Picnic and Performance Area.mp3,,,
ZONE_63_SWINGING_SWAYING_SPARSE_044,Magic Bridge Object Names/Swinging and Swaying Zone.mp3,,,
ZONE_64_MUSIC_SPARSE_Mesh,Magic Bridge Object Names/Music Zone.mp3,,,
